iteration,id,title,type,priority,points,phase,owner,status,acceptance_criteria
C2,C2-1,NotesRepository: create (UC-001),story,CRITICAL,8,Construction,roctinam,PENDING,"create() inserts note+note_original+note_revised_current+note_tag+jobs in transaction; returns NoteFull; format parity test passes"
C2,C2-2,NotesRepository: get / list / update / delete / restore,story,CRITICAL,8,Construction,roctinam,PENDING,"get() returns NoteFull; list() returns NoteSummary[]; update() updates revised_current; delete() soft-deletes; restore() clears deleted_at"
C2,C2-3,NotesRepository: star / archive,story,HIGH,3,Construction,roctinam,PENDING,"star/unstar toggles starred field; archive/unarchive toggles archived field; format parity tests pass"
C2,C2-4,Format parity tests: note tables (note, note_original, note_revised_current, note_revision),task,CRITICAL,8,Construction,roctinam,PENDING,"Round-trip tests for all 4 note tables pass with server fixtures"
C2,C2-5,SearchRepository: FTS search (text mode),story,CRITICAL,8,Construction,roctinam,PENDING,"plainto_tsquery('english') search; deleted_at IS NULL filter; tag filters; limit; returns SearchResponse; format parity test passes"
C2,C2-6,FTS format parity test,task,CRITICAL,3,Construction,roctinam,PENDING,"search_response.json fixture round-trip passes; semantic_available: false path tested"
C2,C2-7,Job Queue Worker: title generation and basic processing,story,HIGH,8,Construction,roctinam,PENDING,"Job Queue Worker polls pending jobs; title_generation job extracts title from content; note.title updated; job marked completed"
C2,C2-8,Job Queue Worker: retry logic and failure handling,story,HIGH,5,Construction,roctinam,PENDING,"retry_count incremented on failure; exponential backoff; terminal failure at max_retries"
C2,C2-9,SKOS management: schemes and concepts,story,MEDIUM,5,Construction,roctinam,PENDING,"create skos_scheme; create skos_concept with scheme; create skos_concept_relation; format parity tests for SKOS tables pass"
C2,C2-10,Tag management: note_tag,story,MEDIUM,3,Construction,roctinam,PENDING,"add/remove tags on note; source field set; note_tag format parity test passes"
C2,C2-11,CollectionsRepository: create / list / assign / delete (UC-003),story,MEDIUM,5,Construction,roctinam,PENDING,"Collection CRUD; hierarchical tree; note.collection_id assignment; format parity test passes; UC-003 ATs pass"
C2,C2-12,LinksRepository: create / list / delete (UC-008 manual links),story,MEDIUM,5,Construction,roctinam,PENDING,"Manual link creation; URL link support; link format parity test passes; UC-008 manual ATs pass"
C2,C2-13,MCP tool handlers: capture_knowledge (create / bulk_create / from_template),story,CRITICAL,8,Construction,roctinam,PENDING,"3 MCP actions functional; response format matches server; MCP tool format parity tests pass"
C2,C2-14,MCP tool handlers: manage_note (update / delete / restore / archive / star),story,CRITICAL,5,Construction,roctinam,PENDING,"5 MCP actions functional; format parity; UC-004 ATs for note management pass"
C2,C2-15,MCP tool handlers: search (text mode),story,CRITICAL,5,Construction,roctinam,PENDING,"search text MCP tool functional; returns server-format SearchResponse"
C2,C2-16,REST API endpoints: /api/v1/notes and /api/v1/search (FTS),story,HIGH,5,Construction,roctinam,PENDING,"REST routes in SW; format matches server OpenAPI; Playwright smoke test passes"
C2,C2-17,React UI: note list and basic note create form,story,HIGH,8,Construction,roctinam,PENDING,"Can create and view notes in UI; Playwright E2E note creation test passes"
C2,C2-18,React UI: FTS search,story,HIGH,5,Construction,roctinam,PENDING,"Search bar functional; results displayed; Playwright search E2E test passes"
C2,C2-19,Format parity tests: remaining tables (attachment, job_queue, link, collection, skos_*),task,CRITICAL,8,Construction,roctinam,PENDING,"Round-trip format parity tests pass for all remaining tables"
C2,C2-20,Construction Iteration 2 assessment,milestone,CRITICAL,2,Construction,roctinam,PENDING,"All C2 stories complete; 60% overall coverage; format parity tests green; FTS search E2E passing"
